name,chords
I Saw Her Standing There,"A,D7,A,E7,A,A7,D,F,A,E7,A,A,D7,A,E7,A,A7,D,F,A,E7,A,D7,E,D,A,D7,A,E7,A,A7,D,F,A,E7,A,D7,E,D,A,D7,A,E7,A,A7,D,F,A,E7,A,A,E7,A,A,E7,A,E7,A7,E7,B7,E,E7,A7,C7,E7,B7,E7,E7,A7,E7,B7,E,E7,A7,C7,E7,B7,E7,A7,B7,A7,E7,A7,E7,B7,E,E7,A7,C7,E6,B7,E7,E7,B7,E7,E7,E7,B7,E7"
I Remember You,"G,F#,G,G7,C,Cm,G,Am,D,G,F#,G,G7,C,Cm,G,G7,C,B7,E,B7,E,Em,A,D,D7,G,F#,G,G7,C,Cm,G,G,Am,D,G,G7,C,B7,E,B7,E,Em,A,D,D7,G,F#,G,G7,C,Cm,G,G,C,D,Bb,D#,F,Fm,G"
I Need You,"A,Aadd9,Asus,A,A,D,A,Aadd9,Asus,A,A,D,A,A7,Asus,A,F#m,C#m,F#m,Bm,A,Aadd9,Asus,A,A,D,A,Aadd9,Asus,A,A,D,A,A7,Asus,A,F#m,C#m,F#m,Bm,A,Aadd9,Asus,A,A,D,E,A,A,D,E,B7,E,A,D,A,Aadd9,Asus,A,A,D,A,A7,Asus,A,F#m,C#m,F#m,Bm,A,Aadd9,Asus,A,F#m,Dmaj7,A,Aadd9,Asus,A"
I Me Mine,"Am,C,D7,G,E7,Am,D,G,E,Am,Am,D,G,E,Am,Dm,Em,Dm7,F,G,G#dim7,F/A,E,Am,Am/G#,C/G,Am/F#,Fmaj7,A7,A7,D7,A7,E7,Am,Am/G#,C/G,Am/F#,Fmaj7"
I Just Dont Understand,"Em,Am,Em,Em,Am,Em,Em,Am,Em,Em,Am,Em,Em,Am,Em"
I Got To Find My Baby,"G,D,D,G,G7,C,G,D,C,G,D,G,G7,C,G,D,C,G,D,G,G7,C,G,D,C,G,D,G,G7,C,G,D,C,G,F,F#,G,G"
I Got A Woman,"E,B7,E,A,E,A,D#m,B7,G,E,G,A,E,D#m,A,E,G,E,A,E,A,G#m,F#m,G,E,A,G,F#m,A,E,E,A,E,A,E,G#m,E,E,D#m,E,E,E,E,E,E,E,E,B7,E,A,E,A,D#m,B7,A,E,A,A,E,F#m,A,E,E,E,F#m,D#m,G#m,E,A,E"
I Forgot To Remember To Forget,"E,A,E,E,B7,E,A,E,B7,E,A,E,B7,E,E7,A,E,B7,E,E,B,B7,E,A,E,B,E,A,E,B7,E,E7,A,E,B7,E"
I Feel Fine,"D,C,G,G,D,C,G,G,D,C,G,G,Bm,C,D7,G,Bm,Am,D7,G,D7,C,G,D7,C,G,D7,C,G,G,C,D,G,Bm,C,D7,G,Bm,C,D7,G,C,D"
I Dont Want To Spoil The Party,"G,G7,G6,D7sus4,Dm7,D7sus2,D,Dsus2,D7,G,G,G,D,Em,B,Am,D7,G,F,G,G,G,D,Em,B,Am,D7,G,F,G,G,Em7,A7,C,D,G,Em7,A7,C,D,G,G,D,Em,B,Am,D7,G,F,G,G,D,Em,B,Am,D7,G,F,G,G,Em7,A7,C,D,G,Em7,A7,C,D,G,D,Em,B,Am,D7,G,F,G,G,G7,G6,D7sus4,Dm7,D7sus2,D,Dsus2,D7,G"
I Dont Want To See You Again,"G,Em,Am,F,G,Em,Am,G,Em,Am,F,G,Em,F,G,C,G,C,Em,Am,Bm,C,Am,F,G,Em,Am,F,G,Em,F,G,C,G,C,Em,Am,Bm,C,Am,F,G,Em,Am,F,G,Em,Am,G,Am,G,Am,G,Am,G"
I Call Your Name,"F#7,E7,B7,E7,C#7,F#7,B7,E7,C#7,F#7,A,Am,E7,A7,C#m,F#7,C7,B7"
I Am The Walrus,"Asus2,A/G,C,D,E,D/F#,FM7,G,F,E7,Dsus2,D7,B7,Bsus2,Asus2,A,Bsus2,B,Asus2,A/G,C,D,E,Asus2,A/G,C,D,Asus2,Asus2,A,A/G,D/F#,Fm7,G,Asus2,A/G,F,Bsus2,C,D,E,Asus2,A/G,C,D,E,A,Asus2,A/G,C,D,Asus2,Dsus2,Asus2,E,D,Asus2,A/G,D/F#,Fm7,A,G,Asus2,A/G,F,Bsus2,C,D,E,Bsus2,Asus2,G,F,E,Bsus2,Asus2,G,F,E,F,B7,C,D,E,D,Asus2,A/G,C,D,E,Asus2,A/G,C,D,Asus2,Asus2,A/G,D/F#,Fm7,G,Asus2,A/G,F,Bsus2,C,D,E,D,C,G,G,G,Bsus2,Asus2,G,F,E7"
I Am The Walrus,"B,A,G,F,E,E7,D,D7,A,A/G,C,D,E,A,A,G,C,D,A,A,A/G,D/F#,G,A,A,G,F,B,C,D,E,A,A/G,C,D,E,A,A,G,C,D,A,Dsus4,A,E,D,D7,E,B,A,G,F,E,B,A,G,F,E,F,B7,C"
How Do You Do It,"Am,D7,G,D7,G,Am,D7,G,Am,D7,G,Am,D7,G,D7,Am,G,G,Am,D7,G,Am,D7,G,Am,D7,G,D7,Am,G,Am,D7,G,Am,D7,G,Am,D7,G,Am,D7,G,Am,D7,G,Am,D7,G,Am,D7,G,D7,Am,G,G,Am,D7,D7,Am,G,Am,D7,G,Am,D7,G,Am,D7,G,Am,D7,G,Am,D7,G,Am,D7,G,Am,D7,G,D7,Am,G,G,Am,D7,G,D7,Am,G,G,Am,D7,G,D7,Am,G"
Honey Pie,"Em,A6,Am/D,Cm,G,Em,A6,Am/D,Cm,G,A7,D7,G,Eb7,E7,A7,D7,G,Eb7,D7,G,Eb7,E7,A7,D7,G,F#,F,Em,C#m7b5,G,G7,C,E7,Am,D7,G,Eb7,E7,A7,D7,G,Eb7,D7,G,G,Eb7,E7,A7,D7,G,Eb7,D7,G,Eb7,E7,A7,D7,G,F#,F,Em,C#m7b5,G,G7,C,E7,Am,D7,G,Eb7,E7,A7,D7,G,Eb7,D7,G"
Honey Dont,"E/B,E/A#,E/A,E,E,C,E,C,B7,E,A7,E,B7,A7,E,E,C,E,C,B7,E,A7,E,B7,A7,E,E,C,E,C,B7,E,A7,E,B7,A7,E,E,C,E,C,B7,E,A7,E,B7,A7,E,E,C,E,C,B7,E,A7,E,B7,A7,E"
Hold Me Tight,"F,C7,F,Bb7,G7,C7,F,Bb7,G7,C7,F,F7,Bb7,Bbm7,F,Bbm7,F,C7,F,Bb7,G7,C7,F,Bb7,G7,C7,F,F7,Bb7,Bbm7,F,Bbm7,F,Ab7,Ab7,F7,Ab7,F7,Bb7,Gm,G7,C7,F,Bb7,G7,C7,F,Bb7,G7,C7,F,F7,Bb7,Bbm7,F,Bbm7,F,Ab7,Ab7,F7,Ab7,F7,Bb7,Gm,G7,C7,F,Bb7,G7,C7,F,Bb7,G7,C7,F,F7,Bb7,Bbm7,F,Bbm7,F,Ab7,F,Ab7,F"
Hey Jude,"F,C,C,C6,C7,C7sus4,C7,F,Bb,F,C,F,F,C,C,C6,C7,C7sus4,C7,F,Bb,F,C,F,Fmaj7,F7,Bb,Bb/A,Gm,Gm7,C/E,C,F,Fmaj7,F7,Bb,Bb/A,Gm,Gm7,C/E,C,F,F6,F7,C,Csus4,C,C,F,C7,F,C,C,C6,C7,C7sus4,C7,F,Bb,F,C,F,Fmaj7,F7,Bb,Bb/A,Gm,Gm7,C/E,C,F,Fmaj7,F7,Bb,Bb/A,Gm,Gm7,C/E,C,F,F6,F7,C,Csus4,C,C,F,C7,F,C,F,C7,C7sus4,C7,F,Bb,F,C,F,F6,F7,Eb,Bb,F,F6,F7,Eb,Bb,F"
Its For You,"C#m,G#,C#m,G#,C#m,E/B,F#,F#m,A,E,Amaj9,D6,Gmaj7,F#m,C#m,E/B,F#,F#m,A,E,Amaj9,D6,Gmaj7,F#m,C#m,G#7,C#m,E,E,F#,Amaj7,C#m,G#7,F#m7,G#7,F#m7,C#m,E,E,F#,Amaj7,C#m,G#7,C#m,E/B,F#,F#m,A,E,Amaj9,D6,Gmaj7,F#m,C#m,G#,C#m,E/B,F#,F#m,A,E,Amaj9,D6,Gmaj7,F#m,C#m,G#7,C#m,E,E,F#,Amaj7,C#m,G#7,F#m7,G#7,F#m7,C#m,E,E,F#,Amaj7,C#m,G#7,C#m,E/B,F#,F#m,A,E,Amaj9,D6,Gmaj7,F#m,C#m,G#,C#m,G#,C#m,F#m7,C#m,F#m7,C#m,F#m7,C#7,B"
Its All Too Much,"C,G,Gadd9,G,C,G,Gadd9,G,C/G,G,Gadd9,G,C,G,Gadd9,G,G,C,G,Gadd9,G,G,C/G,G,Gadd9,G,C,G,G,Gadd9,G,G,C,G,Gadd9,G,G,C/G,G,Gadd9,G,C,G,G,Gadd9,G,C/G,G,Gadd9,G,C,G,G,Gadd9,G,G,C,G,Gadd9,G,G,C/G,G,Gadd9,G,C,G,G,Gadd9,G,C/G,G,Gadd9,G,C,G,Gadd9,G"
It Wont Be Long,"C#m,E,A,A(b9),C,D#+5,D6,C#7,B7,F#7,G6,F#,Fmaj7,Emaj7,C#m,E,C#m,A,A(b9),E,E,C,E,E,C,E,C#m,E,C#m,A,A(b9),E,E,D#+5,D6,C#7,A,B,F#7,B,E,C,E,E,C,E,C#m,E,C#m,A,A(b9),E,E,D#+5,D6,C#7,A,B,F#7,B,E,C,E,E,C,E,C#m,E,C#m,A,G6,F#7,Fmaj7,Emaj7"
Inner Light,"D#,C#,G#,G#,D#,D#,C#,C#,G#,D#,G#,D#,D#,D#,G#,D#,D#,G#,D#"
In My Life,"G,D,G,D,G,D,Em,G7/F,C,Cm,G,G,D,Em,G7/F,C,Cm,G,Em,C,F,G,Em,A,Cm,G,G,D,G,D,Em,G7/F,C,Cm,G,G,D,Em,G7/F,C,Cm,G,Em,C,F,G,Em,A7,Cm,G,G,D,Em,G7/F,C,Cm,G,G,D,Em,G7/F,C,Cm,G,Em,C,F,G,Em,A7,Cm,G,G,D,Cm,G,G,D,G"
Im Talking About You,"E,E,A,B,E,E,A,B,E,A,E,B,A,E,E,E,A,B,E,A,E"
Im So Tired,"A,G#7,D,E7,A,F#m7,D,E7,A,Eaug,F#m,Dm,A,G#7,D,E7,A,F#m7,D,E7,A,Eaug,F#m,Dm,A,E7,D,A,A,G#7,D,E7,A,F#m7,D,E,A,Eaug,F#m,Dm,A,E7,D,A,D,A,D,A"
Im Only Sleeping,"Em,Am,G,C,G,B7,Em,Am,G,C,G,C,G,Am,Bm,Am,Cmaj7,Em,Am,G,C,G,B7,Em,Am,G,C,G,C,G,Am,Bm,Am,Cmaj7,Cmaj7,Em,Dm9,E7,Am,Am/G,F,E7,Am,G,C,G,B7,Em,Am,G,C,G,C,C,G,Am,Bm,Am,Cmaj7,Cmaj7,Em,Dm9,E7,Am,Am/G,F,E,Am,G,C,G,B7,Em,Am,G,C,G,C,G,Am,Bm,Am,Cmaj7,Cmaj7,Em"
Im Looking Through You,"C,F,Dm7,Am,G,Am,C,F,Dm7,Am,G,C,Am,F,C,Dm7,G,C,G,D,G,D,G,C,G,C,G,C,G,C,G,C,Am7,Em,D,G,C,Am7,Em,D,Em,D,C,G,C,D,G,C,Am7,C7,G,C,G,C,G,C,G,C,C,G,C,Dsus4,D,G,C,G,C,G,C,G,C,G,C"
Im In Love,"Am,G#aug,C/G,D7/F#,F,Fm,C,Am,E7,G#,F,G,Am,Am7,F6,G7,C,Am,E7,G#,F,G,Am,Am7,F6,G7,C,C7,F,E7,Am,Dm7,G7sus4,G,Am,E7,G#,F,G,Am,Am7,F6,G7,C,C7,F,E7,Am,Dm7,G7sus4,G,Am,E7,G#,F,G,Am,Am7,F6,G7,C,Am,F6,G7,C,Am,F6,G7,C,Am,C,Am,C,Am,C,Am"
Im Happy Just To Dance With You,"C#m,F#m,G#,C#m,F#m,G#,C#m,F#m,G#,A,B6,E,B,E,G#m,F#m,B,E,G#m,F#m,B,A,F#m,E,C#m,A,B,E,B,E,G#m,F#m,B,E,G#m,F#m,B,A,F#m,E,C#m,A,B,E,C#m,F#m,G#,C#m,F#m,G#,C#m,F#m,G#,A,B6,E,B,E,G#m,F#m,B,E,G#m,F#m,B,A,F#m,E,C#m,A,B,E,C#m,F#m,G#,C#m,F#m,G#,C#m,F#m,G#,A,B6,E,B,E,G#m,F#m,B,E,G#m,F#m,B,A,F#m,E,C#m,A,B,C#m,F#m,G#,A,B,C#m,F#m,G#,A,B6,E6"
Im Gonna Sit Right Down And Cry Over You,"C7,D7,C7,G7,C7,G7,C7,G7,C7,G7,C7,D7,G7,C7,G7,D7,G7,G7,C7,G7,C7,G7,C7,D7,G7,C7,G7,D7,G7,C7,G7,C7,D7,G7,C7,G7,D7,G7,D7,C7,G7,C7,C7,G7,C7,D7,G7,C7,G7,D7,G7,G7,D7,G7,G7,D7,G7,G9"
Im Down,"G,G7,C,G,C,D,C,G,D,C,G,G,G7,G,G7,G,C,G,D,C,G,D,G"
Im A Loser,"Am7,D7,Am7,D7,Am7,F,D7,G,D,F,G,D,F,G,D,F,G,D,F,G,Am7,D7,Am7,D7,G,E,Am7,F,D7,G,D,F,G,D,F,G,D,F,G,D,F,G,G,D,F,G,D,F,G,D,F,G,D,F,G"
Ill Get You,"A,D,A,D,A,D,Bm,G,A7,D,Bm,G,A7,D,Am,D,Bm,G,A7,A,D,A,D,Bm,G,A7,D,Bm,G,A7,D,Am,D,Bm,G,A7,A,D,A,G,D,E,A,A7,D,Bm,G,A7,D,Bm,G,A7,D,Am,D,Bm,G,A7,A,D,A,D,A,D"
Ill Follow The Sun,"C,F,C,C,Cadd9,F,C,G,C,Cadd9/F,F,C,C,Cadd9/F,F,C,G,F,C,D7,C,Em,Dm,G,C,Cadd9/F,F,C,G,F,C,D7,C,Em,Dm,G,C,C7,Dm,Fm,C,C7,Dm,Fm,C,Dm,G,F7,C,D7,C,Em,Dm,G,C,Cadd9/F,F,C,G,F,C,D7,C,Em,Dm,G,C,C7,Dm,Fm,C,C7,Dm,Fm,C,Dm,G,F,C,D7,C,Em,Dm,G,C,Cadd9/F,F,C"
Ill Follow The Sun,"A,G7,D,E7,D,Bm,E7,A7,D,A,G7,D,E7,D,Bm,E7,A7,D,D,D7,G7,Gm,D,D7,G7,Gm,D,Em7,A,G7,D,E7,D,Bm,E7,A7,D,C,F,C,G,F7,C,D7"
Ill Cry Instead,"C9,G,G,D,C,G,D,G,G,D,C,G,D,G,Bm,A,D,E7,A7,D7,G,G,C,G,D,G,Bm,A,D,E7,A7,D7,G,G,C,G,D,G"
Ill Be On My Way,"A,E,A,D,A,E7,A,D,A,E7,A,E7,A,D,A,E7,B,E,B,B,F#7,B,E7,A,E7,A,D,A,E7,A,D,A,E7,A,A/E,A/F,A/F#,A/F"
Ill Be Back,"C,Bsus,A,Am,C,G,Fmaj7,E7,A,A,Bsus,A,Am,C,G,Fmaj7,E7,F#m,Bm,E7,Bm,E7,Bm,E7,Bm,C#m,F#m,B7,Bm,E7,F#m,Bm,E7"
If Youve Got Troubles,"E,B7,E,E,B7,E,A,B7,A,B7,E,B7,E,E,B7,E,E,B7,E,A,B7,A,B7,E,B7,E,A,E,A,E,B7,E,A,E,A,E,B7,E,E7,E7,E7,E7,A7,A7,E7,E7,B7,A7,E7,E7,E,B7,E"
If Youve Got Trouble,"A,B7,E,A,B7,E,A,B7,E,A,B7,E,A,E,A,B7,E,A,E,A,B7,E,E,A,B7,E"
Mean Mr Mustard,"E,Esus4,E,Esus4,E,B7,B7,C7,C#7,D7,D7,D7,C#7,C7,B7,B7,E,C,B7,E,C,B7,E,Esus4,E,Esus4,E,B7,B7,C7,C#7,D7,D7,D7,C#7,C7,B7,B7,E,C,B7,E,C,B7"
Maxwells Silver Hammer,"D,B7,Em,A7,D,A,D,B7,Em,A7,D,A,E7,A7,D,E7,A7,Em,A7,D,D,F#/C#,Bm,D7/A,G,D,D,B7,Em,A7,D,A,D,B7,Em,A7,D,A,E7,A7,D,E7,A7,Em,A7,D,D,F#/C#,Bm,D7/A,G,D,D,B7,Em,A7,D,A,D,B7,Em,A7,D,A,E7,A7,D,E7,A7,Em,A7,D,D,E7,A7,Em7,A7,D,A,D,D,F#/C#,Bm,D7/A,G,D,A,D"
Matchbox,"A7,A,A,A7,D7,A,E7,D7,A,E7,A,A7,D7,A,A7,E7,D7,A,E7,E7,A,A7,D7,A,A7,E7,D7,A,E7,A,D7,A,E7,D7,A,E7,A,A7,D7,A,A7,E7,D7,A,E7,A,A7,D7,A,E7,D7,A,E7,A"
Martha My Dear,"C,B7,Em,Em7,A,D,G,Fadd9,G7,Fmaj7,G7,Fmaj7,G7,Bm7,D,A,Asus4,A,Asus4,A,F#7,Bm7,Bm7,E7,Bm7,E7,Gmaj7,A,Gmaj7,C,C,B7,Em,Em7,A,D,G,Fadd9,G7,Fmaj7,G,G7,C,G7,C,D,C,C/B,C/A,C/G,C"
Mailman Bring Me No More Blues,"A,E,A,D,A,E,D,A,E,A,E,A,E,A,D,A,E,D,A,E,A,D"
Magical Mystery Tour,"G/B,Gm/Bb,F#m,D,A,E,E,G,A,D,D/C,G/B,Gm/Bb,D/A,A,D,D/C,G/B,Gm/Bb,D/A,A,E,E,G,A,D,D/C,G/B,Gm/Bb,D/A,A,D,D/C,G/B,Gm/Bb,D/A,A"
Maggie Mae,"G,C,G,D,G,C,D7,G,C,G,C,G,D"
Madman,"C,B7,B7,E7,F#7,B7,E7,B7,F#7,B7"
Lucy In The Sky With Diamonds,"A,A7,F#m,Dm,F,C,G,D,A,A7,F#m,Dm,A,A7,F#M,F,A,A7,F#m,Dm,A,A7,F,Bb,C,Dm,Bb,C,G,D,G,C,D,G,C,D,G,C,D,D,D,A"
Lucy In The Sky,"Fmaj7,Dm7,C7sus,Bb,C,F,Bb,C,G,D7,Em7,D,G,C,D,G,C,D,G,C,D,D,A"
Lucille,"C,G,C,F,C,G,F,C,G,C,F,C,G,F,C,G,C,F,C,G,F,C,G,C,F,C,G,F,C,G,C,F,C,G,F,C"
Lovely Rita,"B,A,E,B,E,D,A,E,B,C#m,F#7,B,E,A,D,G,E,B,E,C#m,F#m7,B7,E,D,A,E,B,C#m,F#7,B,A/B,G#m/B,F#m/B,E6/B,B7,E,D,A,E,B7,E,F#7,B7,C#m,F#7,F#m7,B7,A/B,G#m/B,F#m/B,E6/B"
Love You To,"C5,Bb/C,C5,Bb/C,C5,Bb/C,C5,Bb/C,C5,C5,Bb/C,C5,Bb/C,C5,Bb/C,C5,Bb/C,C5,C5,Bb/C,C5,Bb/C,C5,Bb/C,C5,Bb/C,C5,C5,Bb/C,C5,Bb/C,C5,Bb/C,C5,Bb/C,C5,Bb/C,C5,Bb/C,C5,Bb/C,C5,Bb/C,C5"
Love Of The Loved,"C,Em,Dm7,G7,C,Em,Eb,Fm,C,Ab7,G7,C,G7,Ab7,G7,C,Bb7,Eb,Gm,Ab,G7,Eb,Bb7,D7,G7"
Love Me Do,"G,C,G,C,G,C,C,C/G,G,G,C,G,C,G,C,C,C/G,G,D,C,F,G,D,C,F,G,G,C,G,C,G,C,C,C/G,G,G,C,G,G,C,G,C,G,C,C,C/G,G,G,C,G,C,G,C"
Long Tall Sally,"G,G7,C,G,D7,C7,G,D7,G,G7,C,G,D7,C7,G,D7,G,G7,C,G,D7,C7,G,D7,G,G7,C,G,D7,C7,G,D7,G,G7,C,G,D7,C7,G,D7,G,C,G,D7,C7,G,D7,G,C,G,D7,C7,G,C7,G,G9"
Long Long Long,"Em,G,Em,D,A,Bb,Am,Gm,F,C,C7,G,F#m,Em,D,A,Em,D,A,Em,D,A,A7,G,D,A,Em,G,D,A,Em,G,A,A,Em,D,A,Em,D,A,Em,D,A,A"
Little Queenie,"A5,A4,A5,A4,A5,A4,A5,A4,A,D,A,E,A,D,A,E,A,D,A,E,D,A,A,D,A,E,A,A,D,A,E,A,A,D,A,E,A,D,A,E,D,A,A,D,A,E,A,A,D,A,E,A,A,D,A,E,A,D,A,E,D,A,A,D,A,E,A,A,D,A,E,A"
Little Child,"E,A,E7,E7,A,E7,B7,A,F#7,B7,E7,A,E7,B7,A,F#7,B7,E,E,B7,E,F#7,B7,E7,A,E7,B7,A,F#7,B7,E,E7,A,E7,B7,A,F#7,B7,E,B7,E,F#7,B7,E7,A,E7,B7,A,F#7,B7,E,C#7,F#7,B7,E,C#7"
Like Dreamers Do,"F,C#7,F#,D7,G,D#7,G#,E7,A,F#m,Bm,C#m,E,A,F#m,Bm,C#m,E,A,C#7,Bm,E7,A,D,E,A,Bm,B7,E7,A,F#m,Bm,C#m,E,A,F#m,Bm,C#m,E,A,C#7,Bm,E7,A,D,E,A,Bm,B7,E7,A,F#m,Bm,C#m,E,A,F#m,Bm,C#m,E,A,C#7,Bm,E7,A,Adim,A,Adim,A,Adim,F,C#7,F#,D7,G,D#,G#,E7,A"
Let It Be,"C,G,Am,Fmaj7,F6,C,G,F,C/E,Dm7,C,C,G,Am,Fmaj7,F6,C,G,F,C/E,Dm7,C,C,G,Am,Fmaj7,F6,C,G,F,C/E,Dm7,C,Am,C/G,F,C,C,G,F,C/E,Dm7,C,C,G,Am,Fmaj7,F6,C,G,F,C/E,Dm7,C,C,G,Am,Fmaj7,F6,C,G,F,C/E,Dm7,C,Am,C/G,F,C,C,G,F,C/E,Dm7,C,Am,C/G,F,C,C,G,F,C/E,Dm7,C,F,C/E,Dm7,C,Bb,F/A,G,F,C,C,G,Am,F,C,G,F,C,Am,C/G,F,C,C,G,F,C/E,Dm7,C,C,G,Am,Fmaj7,F6,C,G,F,C/E,Dm7,C,C,G,Am,Fmaj7,F6,C,G,F,C/E,Dm7,C,Am,C/G,F,C,C,G,F,C/E,Dm7,C,Am,C/G,F,C,C,G,F,C/E,Dm7,C,Am,C/G,F,C,C,G,F,C/E,Dm7,C,F,C/E,Dm7,C,Bb,F/A,G,F,C"
Lend Me Your Comb,"E,E7,E,G,A,B,E,A,E,A,A,B,A,E,E7,E,G,A,B,E,A,E,A,A,B,A,E,E7,E,A,E,B,E,A,E,F#m,B,E,A,E,A,A,B,A,E,E7,E,G,A,B,E,E7,E,G,A,B,E,E,E7,E,G,A,B,E,A,E,B,E,A,E,F#m,B,E,A,E,A,A,B,A,E,E7,E,G,A,B"
Leave My Kitten Alone,"F,C,G,G7,C,C7,F,C,G,G7,C,F,C"
Lady Madonna,"A,D,A,D,A,D,F,G,A,A,D,A,D,A,D,A,F,G,A,A,D,A,D,A,D,A,F,G,A,Dm,G,C,Am,Dm,G7,C,Bm,Dsus2,E,A,D,A,D,A,D,A,F,G,A,A,D,A,D,A,D,F,G,A,Dm,G7,C,Am,Dm,G,C,Bm,Dsus2,E,A,D,A,D,A,D,A,F,G,A,A,D,A,D,A,D,F,G,A,Dm,G,C,Am,Dm,G7,C,Bm,Dsus2,E,A,D,A,D,A,D,A,F,G,A,A,Bm7,Cm6,Bm7,A,A,Bm7,Cm6,Bm7,A"
Komm Gib Mir Deine Hand,"F,F#,G,F,F#,G,F,F#,G,G7,G,F,G,F,G,G7"
Keep Your Hands Off My Baby,"D,D,G,D,G,D,D,G,Em,C,D,D,G,Em,C,D,G,D,G,D,G,D,D,G,Em,C,D,D,G,Em,C,D,G,D,G,D,G,D,D,G,Em,C,D,D,G,Em,C,D,G,G,Em,G,Em,C,D,G"
Keep Your Hands Of My Baby,"D7,G,D7,G,D7"
Kansas City Hey Hey Hey Hey,"A,D,A,D,E,A,D,A,E,D,A,D,E,A,D,A,E,D,A,A,A,E,A"
Kansas City Hey Hey Hey,"G,C,G,C,D,G,G,G,C,C,G,D,C,G,C,D,G,G,G,C,C,G,D,C,G,C,D,G,G,G,C,C,G,D,C,G,C,D,G,G,G,C,C,G,D,C,G,C,D,G,G,G,G,C,G,D,C,G,G,G"
Kansas City,"G,C,G,C/D,G,C,G,D,G,C,G,D,G,C,G,D,C,G,G,C,G,D,G,C,G,D,C,G"
Just Fun,"D,G,D,D,G,D,G,G,D,G,D,D,A,D"
Junk,"F#m,C#7/F,A6/E,Dmaj7,Dmaj7,A,A,A,A,F#m,C#7/F,A6/E,Dmaj7,Dmaj7,A,F#m,C#7/F,A6/E,Dmaj7,Dmaj7,A,Dsus4,Dm,A,E,E7,A,Dsus4,Dm,A,E,E7,A,F#m,C#7/F,A6/E,Dmaj7,Dmaj7,A,F#m,C#7/F,A6/E,Dmaj7,Dmaj7,A,Dsus4,Dm,A,E,E7,A,Dsus4,Dm,A,E,E7,A,Dsus4,Dm,A,E,A,Dsus4,Dm,A,E7,A,F#m,C#7/F,A6/E,Dmaj7,Dmaj7,A,F#m,C#7/F,A6/E,Dmaj7,Dmaj7,A"
Julia,"D,Bm7,F#m7,D,Bm7,F#m7,A7,D,Bm7,Am,Am7,B7,Gm7,Gm7,D,Bm7,F#m7,A7,D,Bm7,Am,Am7,B7,Gm7,Gm7,D,Bm7,F#m7,A7,D,C#m,D,Bm7,Bm6,F#m,F#m,D,F#m,D,Bm7,Am,Am7,B7,Gm7,Gm7,D,Bm7,F#m7,A7,D,D,Bm7,F#m,D,Bm7,F#m7,A7,D,Bm7,Am,Am7,B7,Gm7,Gm7,D,Bm7,F#m7,A7,D,Bm7,Am,Am7,B7,Gm7,Gm7,D,Bm7,A,D,A,D,F#m7,A7,Dmaj7,Am7,Gm7,Bm6,F#m"
Johnny B Goode,"A,E,D,A,A,D,A,E,A,A,D,A,E,A,A,A,E,A,A,D,A,E,A,A,D,A,D,A,E,A,E,A,D,A,E,A,A,D,A,E,A"
Ive Just Seen A Face,"G,Em,C,D,G,G,Em,C,D,G,D,C,G,C,G,G,Em,C,D,G,D,C,G,C,G,D,C,G,C,G,G,Em,C,D,G,D,C,G,C,G,D,C,G,C,G,D,C,G,C,G"
Ooh My Soul,"B,A,E,E,A,E,B,A,E,E,A,E,B,A,E,E,A,E,B,A,E,E,A,E,B,A,E,E,A,E,B,A,E,E,A,E,B,A,E"
Only A Northern Song,"A,A(v),Bm,E,F#m,F#,D,A(v),A(v),Bm,A(v),A(v),Bm,A(v),E,F#m,F#,Bm,F#,D,A,E,A(v),Bm,A(v),E,F#m,F#,Bm,F#,D,A,E,A(v),Bm,A(v),E,F#m,F#,Bm,F#,D,A,E,A(v),Bm,A(v),Bm"
One And One Is Two,"C,C,C,C"
One After 909,"B,E,B,F#7,B,B,E,B,F#7,B,E,B,C#,F#,E,B,C#,F#7,B,E,B,F#7,B,E,B,C#,F#,E,B,C#,F#7,B,E,B,F#7,B,F#7,B,F#7,B"
Old Brown Shoe,"C7,C7"
Oh Darling,"E+,A,E,F#m,D,Bm7,E7,A7,F7,B7,Bb7,E+,A,E,F#m,D,Bm7,E7,Bm7,E7,A,A,D,A,E,E,A,E,F#m,D,Bm7,E7,Bm7,E7,A,A,D,A,A7,A7,D,F7,A,B7,E7,E7,E+,E+,A,E,F#m,D,Bm7,E7,Bm7,E7,A,A,D,A,A7,A7,D,F7,A,B7,E7,E7,E+,E+,A,E,F#m,D,Bm7,E7,Bm7,E7,A,A,D,A,Bb7,A7"
Octopuss Garden,"B,E,B,A,B,E,C#m,A,B,E,C#m,A,B,E,C#m,A,B,C#m,A,B,E,C#m,A,B,E,E,C#m,A,B,E,C#m,A,B,C#m,A,B,E,C#m,A,B,E,A,F#m,D,E,A,F#m,D,E,A,B,E,C#m,A,B,E,C#m,A,B,C#m,A,B,E,C#m,A,B,C#m,A,B,C#m,A,B,E,B,E"
Ob-La-Di Ob-La-Da,"A,A,A,A,A,E,E7,A,D,A,E,A,A,E,F#m7,A,E,A,A,E,F#m7,A,E,A,A,E,E7,A,D,A,E,A,A,E,F#m7,A,E,A,A,E,F#m7,A,E,A,D,A,Asus2,A,A7,D,A/E,E,A,E,E7,A,D,A,E,A,A,E,F#m7,A,E,A,A,E,F#m7,A,E,A,D,A,Asus2,A,A7,D,A/E,E,A,E,E7,A,D,A,E,A,A,E,F#m7,A,E,A,A,E,F#m7,A,E,A,F#m7,E,A"
