name,chords
From Me To You,"C,Am,C,Am,C,Am,C,G7,F,Am,C,G7,C,Am,C,Am,C,G7,F,Am,C,G7,C,C7,Gm7,C7,F,Am,D7,G,Gaug,C,Am,C,G7,F,Am,C,G7,C,C7,C,Am,C,G,F,Am,C,G,C,C7,Gm7,C7,F,Am,D7,G,Gaug,C,Am,C,G7,F,Am,C,G7,C,Am,Ab,C,Am,C,Am,G7,F7,C7,Gm7,F,D7,G,Gaug,Abaug,Caug"
Free As A Bird,"A,F#m,Dm,E,A,F#m,Dm,G,C,Am,Esus4,E,A,F#m,Dm,E,A,F#m,Dm,E,A,F#m,Dm,G,C,Am,Esus4,E,A,F#m,Dm,E,A,F#m,Dm,E,A,F#m,Dm,G,C,Am,Esus4,E,Fmaj7,F#m7b5,Am/F#,G,A,A/G,Fmaj7,F#m7b5,G,E,A,F#m,Dm,E,A,F#m,Dm,E,A,F#m,Dm,G,C,Am,Esus4,E,A,F#m,Dm,E,A,F#m,Dm,E,A,F#m,Dm,G,C,Am,Esus4,E,Fmaj7,F#m7b5,Am/F#,G,E,C,Am,F,Ab,G,A,F#m,Dm,E,A,F#m,Dm,E,A,F#m,Dm,G,A,F#m,Dm,G,A,F#m,Dm,G,A,F#m"
Dear Prudence,"D,D/C,D/B,D/Bb,D,D/C,D/B,D/Bb,D,D/C,D/B,D/Bb,D,D/C,D/B,D/Bb,D,D/C,D/B,D/Bb,D,D/C,C,G,D,D/C,D/B,D/Bb,D,D/C,D/B,D/Bb,D,D/C,D/B,D/Bb,D,D/C,D/B,D/Bb,D,D/C,D/B,D/Bb,D,D/C,D/B,D/Bb,D,D/C,C,G,D,G/D,A/D,G/D,D,F,Ab,G,D,D,D/C,D/B,D/Bb,D,D/C,D/B,D/Bb,D,D/C,D/B,D/Bb,D,D/C,D/B,D/Bb,D,D/C,D/B,D/Bb,D,D/C,C,G,D,D,D/C,Gm7/B,Gm7/Bb,Dsus4,D5,D,D/C,Gm7/B,Gm7/Bb,D,D/C,Gm7/B,Gm7/Bb,D,D/C,Gm7/B,Gm7/Bb,D,D/C,Gm7/B,Gm7/Bb,D,D/C,Gm7/B,Gm7/Bb,D,D/C,C,G,D,D/C,Gm7/B,Gm7/Bb,D,D/C,Gm7/B,Gm7/Bb,D,D/C,Gm7/B,Gm7/Bb,D,D/C,Gm7/B,Gm7/Bb,D,D/C,Gm7/B,Gm7/Bb,D,D/C,Gm7/B,Gm7/Bb,D,D/C,C,G,D,Dsus4,D5,Dsus4,D,Dsus4,D,Dsus4,D,Dsus4,D,Dsus4,D,F,C,G,D,D,D/C,Gm7/B,Gm7/Bb,D,D/C,Gm7/B,Gm7/Bb,D,D/C,Gm7/B,Gm7/Bb,D,D/C,Gm7/B,Gm7/Bb,D,D/C,Gm7/B,Gm7/Bb,D,D/C,C,G,D,D/C,Gm7/B,Gm7/Bb,D,D/C,Gm7/B,Gm7/Bb,D,D/C,Gm7/B,Gm7/Bb,D,D/C,Gm7/B,Gm7/Bb,D,D/C,Gm7/B,Gm7/Bb,D,D/C,Gm7/B,Gm7/Bb,D,D/C,C,G,D,D/C,Gm7/B,Gm7/Bb"
Day Tripper,"E7,E7,E7,E7,E7,E7,E7,E7,E7,A7,E7,F#,A,G#,C#,B,E7,E7,A7,E7,E7,A7,F#,A,G#,C#,B"
Any Time At All,"Bm,D,A,G,Dsus4,Dsus2,F#m,Gm,A7,Bm,D,A,Bm,G,A,Dsus4,D,Dsus2,D,F#m,Bm,Gm,D,A,D,F#m,Bm,Gm,D,A,Dsus4,D,Dsus2,D,Bm,D,A,Bm,G,A,Dsus4,D,Dsus2,D,F#m,Bm,Gm,D,A,D,F#m,Bm,Gm,D,A,Dsus4,D,Dsus2,D,Bm,D,A,Bm,G,A,Dsus4,D,Dsus2,D,A,A7,A,A7,G,A,G,A,Dsus4,D,Dsus2,D,Bm,D,A,Bm,G,A,Dsus4,D,Dsus2,D,G,A,Dsus4,D,Dsus2,D"
Another Girl,"A,D,A,D,A,G,A,D,A,G,A,D,E,A,D,A,D,A,G,A,D,A,G,A,D,E,A,D,A,D,C,G,C,G,C,E,A7,E,A,G,A,D,A,G,A,D,E,A,D,A,D,C,G,C,G,C,E,A7,E,A,G,A,D,A,G,A,D,E,A,D,A,D,A,D,A"
Anna Go To Him,"D,Bm,D,D,Bm,D,Bm,D,Bm,D,Bm,Em,A7,D,Bm,D,Bm,D,Bm,D,Bm,D,Bm,D,Bm,Em,A7,D,G,D,G,Gm,E7,A7,D,Bm,D,Bm,D,Bm,Em,A7,D,Bm,D,Bm,D,Bm,D"
Anna,"D,Bm,D,D,Bm,D,Bm,D,Bm,D,Bm,Em,A7,D,Bm,D,Bm,D,Bm,D,Bm,D,Bm,D,Bm,Em,A7,D,G,D,D7,G,Gm,E7,A7,D,Bm,D,Bm,D,Bm,Em,A7,D,G,D,D7,G,Gm,E7,A7,D,Bm,D,Bm,D,Bm,Em,A7,D,Bm,D,Bm,D,Bm,D,D,C,Bm,Am,Em,Dm,A7,G7,G,F,Gm,Fm,E7,D7"
And Your Bird Can Sing,"E,F#m,A,E,E,F#m,A,E,G#m,Gaug,B,C#,E,F#m,B,G#m,Gaug,B,C#,E,F#m,B,E,F#m,A,E"
And I Love Her,"Em,D,Em,Bm,Em,Bm,Em,Bm,G,A,D,Em,Bm,Em,Bm,Em,Bm,G,A,D,Bm,A,Bm,F#m,Bm,F#m,A,A7,Em,Bm,Em,Bm,Em,Bm,G,A,D,Fm,Cm,Fm,Cm,Fm,Cm,Ab,Bb,Eb,Fm,Cm,Fm,Cm,Fm,Cm,Ab,Bb,Eb,Fm,Cm,Fm,C"
